"linkName","link","price","currencyKM","status","city","size","numOfRooms","equipped","date","views","id","pricePerSquareMeter","numOfRooms2","cityShort","dateNew","count","cityCat","lat","long","country","capital","population","population_proper"
"Prodajem dvosoban stan od 60 kvadrata u gornjoj Ljubiji","https://www.olx.ba/artikal/36922397/prodajem-dvosoban-stan-od-60-kvadrata-u-gornjoj-ljubiji/",15000,TRUE,"korišteno","Prijedor",60,"Dvosoban (2)","Nenamješten","06.02.2020.",4127,2377,250,"2","Prijedor","2020-02-06",19,"Others",44.9667,16.7,"Bosnia And Herzegovina","minor",89397,89397
"Dvosoban Stan u Ljubiji","https://www.olx.ba/artikal/49035064/dvosoban-stan-u-ljubiji/",16000,TRUE,"korišteno","Prijedor",57,"Dvosoban (2)","Namješten","26.07.2022.",2601,2703,280.70175438596493,"2","Prijedor","2022-07-26",19,"Others",44.9667,16.7,"Bosnia And Herzegovina","minor",89397,89397
"Jednosoban stan","https://www.olx.ba/artikal/42847902/jednosoban-stan/",15000,TRUE,"korišteno","Sokolac",49,"Jednosoban (1)","Nenamješten","26.04.2021.",8470,2734,306.1224489795918,"1","Sokolac","2021-04-26",2,"Others",43.9382,18.8008,"Bosnia And Herzegovina","minor",NA,NA
"Nekretnine stan","https://www.olx.ba/artikal/39589394/nekretnine-stan/",57000,TRUE,"novo","Derventa",158,"Trosoban (3)","Nenamješten","31.08.2020.",4067,2831,360.75949367088606,"3","Derventa","2020-08-31",4,"Others",44.98,17.91,"Bosnia And Herzegovina","minor",12680,12680
"Stan Šibošnica","https://www.olx.ba/artikal/49186583/stan-sibosnica/",15000,TRUE,"korišteno","Čelić",40,"Jednoiposoban (1.5)","Polunamješten","07.08.2022.",2414,2172,375,"1.5","Čelić","2022-08-07",1,"Others",44.7211,18.8203,"Bosnia And Herzegovina","minor",NA,NA
"Stan Vareš","https://www.olx.ba/artikal/50258760/stan-vares/",15000,TRUE,"korišteno","Vareš",38,"Jednosoban (1)","Nenamješten","27.10.2022.",1906,2684,394.7368421052632,"1","Vareš","2022-10-27",7,"Others",44.1644,18.3283,"Bosnia And Herzegovina","minor",9556,9556
"Stan 100m2 Gornji Vakuf - Uskoplje","https://www.olx.ba/artikal/49457881/stan-100m2-gornji-vakuf-uskoplje/",40000,TRUE,"novo","Gornji Vakuf - Uskoplje",100,"Trosoban (3)","Nenamješten","29.08.2022.",1946,2581,400,"3","Gornji Vakuf - Uskoplje","2022-08-29",1,"Others",43.9333,17.5833,"Bosnia And Herzegovina","minor",NA,NA
"Stan u Vareš Majdanu","https://www.olx.ba/artikal/49204427/stan-u-vares-majdanu/",22000,TRUE,"korišteno","Vareš",51,"Dvosoban (2)","Nenamješten","09.08.2022.",2904,3061,431.37254901960785,"2","Vareš","2022-08-09",7,"Others",44.1644,18.3283,"Bosnia And Herzegovina","minor",9556,9556
"Stan 45 m2 (Priboj - Lopare)","https://www.olx.ba/artikal/34803456/stan-45-m2-priboj-lopare/",21500,TRUE,"korišteno","Lopare",45,"Jednoiposoban (1.5)","Polunamješten","11.08.2019.",4680,3018,477.77777777777777,"1.5","Lopare","2019-08-11",1,"Others",44.635,18.8434,"Bosnia And Herzegovina","minor",NA,NA
"-Roh-bau-Dvosoban stan površine cca 70m2 ID:3256/ZP","https://www.olx.ba/artikal/26253263/roh-bau-dvosoban-stan-povrsine-cca-70m2-id3256-zp/",35000,TRUE,"novo","Brčko",70,"Dvosoban (2)","Nenamješten","20.07.2017.",9989,2114,500,"2","Brčko","2017-07-20",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"» Komforan četvorosoban stan, Doboj","https://www.olx.ba/artikal/22735737/komforan-cetvorosoban-stan-doboj/",51755,TRUE,"korišteno","Doboj",100,"Četverosoban (4)","Nenamješten","26.08.2016.",25569,1322,517.55,"4","Doboj","2016-08-26",22,"Others",44.7333,18.1333,"Bosnia And Herzegovina","minor",68514,68514
"Stan Ljubija","https://www.olx.ba/artikal/50810515/stan-ljubija/",32000,TRUE,"korišteno","Prijedor",60,"Dvosoban (2)","Nenamješten","04.12.2022.",1089,803,533.3333333333334,"2","Prijedor","2022-12-04",19,"Others",44.9667,16.7,"Bosnia And Herzegovina","minor",89397,89397
"~Stan u centru grada~108 m2 ID:147/IM","https://www.olx.ba/artikal/21943941/stan-u-centru-grada108-m2-id147-im/",75000,TRUE,"korišteno","Brčko",136.12,"Četverosoban (4)","Nenamješten","02.06.2016.",6960,577,550.9844255069056,"4","Brčko","2016-06-02",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Centar-stan u privatnoj kući i zemljište (okucnica)","https://www.olx.ba/artikal/50339299/centar-stan-u-privatnoj-kuci-i-zemljiste-okucnica/",99700,TRUE,"korišteno","Sarajevo - Centar",170,"Trosoban (3)","Polunamješten","02.11.2022.",1678,2648,586.4705882352941,"3","Sarajevo","2022-11-02",392,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"DVOSOBAN STAN - LUKAVAC","https://www.olx.ba/artikal/46508847/dvosoban-stan-lukavac/",25000,TRUE,"korišteno","Lukavac",42,"Dvosoban (2)","Polunamješten","26.01.2022.",11941,740,595.2380952380952,"2","Lukavac","2022-01-26",18,"Others",44.5333,18.5333,"Bosnia And Herzegovina","minor",46731,46731
"Stan Kozarska Dubica","https://www.olx.ba/artikal/41991297/stan-kozarska-dubica/",58000,TRUE,"korišteno","Kozarska Dubica",92,"Trosoban (3)","Nenamješten","26.02.2021.",8656,2893,630.4347826086956,"3","Kozarska Dubica","2021-02-26",4,"Others",45.1767,16.8094,"Bosnia And Herzegovina","minor",NA,NA
"Stan Kraljeva Sutjeska","https://www.olx.ba/artikal/47431995/stan-kraljeva-sutjeska/",26000,TRUE,"korišteno","Kakanj",40,"Jednosoban (1)","Namješten","27.03.2022.",3957,2550,650,"1","Kakanj","2022-03-27",2,"Others",44.1331,18.1229,"Bosnia And Herzegovina","minor",NA,NA
