price,status,city,size,equipped,pricePerSquareMeter,cityShort,count,cityCat,capital,population,year,month,numOfRooms
15000,0,Prijedor,60,0,250,Prijedor,19,Others,minor,89397,2020,2,2
16000,0,Prijedor,57,2,280.7,Prijedor,19,Others,minor,89397,2022,7,2
15000,0,Sokolac,49,0,306.12,Sokolac,2,Others,minor,12021,2021,4,1
57000,1,Derventa,158,0,360.76,Derventa,4,Others,minor,27404,2020,8,3
15000,0,Celic,40,1,375,Celic,1,Others,minor,9341,2022,8,1
15000,0,Vares,38,0,394.74,Vares,7,Others,minor,8892,2022,10,1
40000,1,Gornji Vakuf - Uskoplje,100,0,400,Gornji Vakuf - Uskoplje,1,Others,minor,20933,2022,8,3
22000,0,Vares,51,0,431.37,Vares,7,Others,minor,8892,2022,8,2
21500,0,Lopare,45,1,477.78,Lopare,1,Others,minor,15357,2019,8,1
35000,1,Brcko,70,0,500,Brcko,199,Big Cities,admin,83516,2017,7,2
51755,0,Doboj,100,0,517.55,Doboj,22,Others,minor,71441,2016,8,4
32000,0,Prijedor,60,0,533.33,Prijedor,19,Others,minor,89397,2022,12,2
75000,0,Brcko,136.12,0,550.98,Brcko,199,Big Cities,admin,83516,2016,6,4
99700,0,Sarajevo - Centar,170,1,586.47,Sarajevo,392,Sarajevo,primary,275524,2022,11,3
25000,0,Lukavac,42,1,595.24,Lukavac,18,Others,minor,44520,2022,1,2
58000,0,Kozarska Dubica,92,0,630.43,Kozarska Dubica,4,Others,minor,21524,2021,2,3
26000,0,Kakanj,40,2,650,Kakanj,2,Others,minor,37441,2022,3,1
40000,0,Gradiska,60,2,666.67,Gradiska,19,Others,minor,51727,2022,7,2
26000,0,Brcko,36.66,2,709.22,Brcko,199,Big Cities,admin,83516,2021,8,1
49000,0,Visegrad,67,2,731.34,Visegrad,3,Others,minor,10668,2022,2,3
30000,0,Trebinje,41,0,731.71,Trebinje,16,Others,minor,29198,2021,7,1
35000,0,Kljuc,47,2,744.68,Kljuc,4,Others,minor,16744,2020,3,2
52500,0,Brod,70,1,750,Brod,8,Others,minor,16619,2022,10,3
34000,0,Doboj,45,1,755.56,Doboj,22,Others,minor,71441,2016,11,2
59900,0,"Sarajevo, Novi Grad",78,0,767.95,Sarajevo,291,Sarajevo,primary,275524,2022,3,3
40000,0,Banja Luka,52,2,769.23,Banja Luka,421,Big Cities,admin,185042,2022,12,2
90000,0,Bijeljina,117,2,769.23,Bijeljina,90,Big Cities,minor,107715,2020,5,4
39000,0,Vares,50,0,780,Vares,7,Others,minor,8892,2018,9,2
55000,0,Tuzla,70,0,785.71,Tuzla,199,Big Cities,minor,110979,2022,9,3
60000,0,Brcko,76,2,789.47,Brcko,199,Big Cities,admin,83516,2020,5,3
39500,0,Samac,50,2,790,Samac,3,Others,minor,17273,2020,7,2
120000,0,Novi Travnik,150,2,800,Novi Travnik,7,Others,minor,23832,2022,12,5
37000,0,Brcko,46,1,804.35,Brcko,199,Big Cities,admin,83516,2022,7,1
65000,0,Kladanj,80,1,812.5,Kladanj,1,Others,minor,12348,2022,11,3
52000,0,Brod,64,0,812.5,Brod,8,Others,minor,16619,2021,9,2
31000,0,Brcko,38,1,815.79,Brcko,199,Big Cities,admin,83516,2020,6,1
45000,0,Milici,55,2,818.18,Milici,1,Others,minor,11441,2022,10,2
46000,0,Han Pijesak,56,2,821.43,Han Pijesak,2,Others,minor,3530,2022,12,2
85000,0,Novi Travnik,103,0,825.24,Novi Travnik,7,Others,minor,23832,2022,7,4
83000,0,Brcko,100,0,830,Brcko,199,Big Cities,admin,83516,2019,1,3
37500,0,Bihac,45,0,833.33,Bihac,17,Others,minor,56261,2022,11,1
62000,0,Prijedor,74,1,837.84,Prijedor,19,Others,minor,89397,2022,11,2
42650,0,Visegrad,50,2,853,Visegrad,3,Others,minor,10668,2022,7,3
30000,0,Mrkonjic Grad,35,2,857.14,Mrkonjic Grad,3,Others,minor,16671,2022,5,1
30000,0,Breza,35,0,857.14,Breza,7,Others,minor,14168,2022,8,1
57000,0,Novi Travnik,66,0,863.64,Novi Travnik,7,Others,minor,23832,2022,12,3
46900,0,Breza,54,2,868.52,Breza,7,Others,minor,14168,2021,7,2
70000,0,Ilidza,80,2,875,Ilidza,224,Big Cities,minor,66730,2022,9,3
65000,0,Brcko,74,0,878.38,Brcko,199,Big Cities,admin,83516,2022,9,3
899999,0,Grad Mostar,1000,2,900,Grad Mostar,44,Big Cities,minor,105797,2022,3,5
45000,0,Bijeljina,50,2,900,Bijeljina,90,Big Cities,minor,107715,2022,3,2
54000,0,Gacko,60,0,900,Gacko,3,Others,minor,8990,2022,11,2
60000,0,Brod,66,1,909.09,Brod,8,Others,minor,16619,2022,10,2
80000,0,Brcko,88,1,909.09,Brcko,199,Big Cities,admin,83516,2022,9,4
